model,n_params,rank,mag,mag_over_median
pythia-2.8b,2775208960,40,3.93359375,4.931741659008203
pythia-2.8b,2775208960,41,3.90234375,4.89256198346494
pythia-2.8b,2775208960,42,3.90087890625,4.89072543617385
pythia-2.8b,2775208960,43,3.873046875,4.8558310376431315
pythia-2.8b,2775208960,44,3.7529296875,4.705234159773715
pythia-2.8b,2775208960,45,3.7431640625,4.692990511166446
pythia-2.8b,2775208960,46,3.7392578125,4.688093051723538
pythia-2.8b,2775208960,47,3.71923828125,4.662993572078635
pythia-2.8b,2775208960,48,3.6669921875,4.597490052029743
pythia-2.8b,2775208960,49,3.6396484375,4.563207835929387
pythia-2.8b,2775208960,50,3.60888671875,4.524640342816489
pythia-2.8b,2775208960,51,3.60009765625,4.513621059069946
pythia-2.8b,2775208960,52,3.55322265625,4.4548515457550515
pythia-2.8b,2775208960,53,3.53857421875,4.436486072844147
pythia-2.8b,2775208960,54,3.53564453125,4.432812978261966
pythia-2.8b,2775208960,55,3.505859375,4.3954698500097935
pythia-2.8b,2775208960,56,3.48193359375,4.365472910921984
pythia-2.8b,2775208960,57,3.47509765625,4.356902356896895
pythia-2.8b,2775208960,58,3.462890625,4.341597796137807
pythia-2.8b,2775208960,59,3.447265625,4.322007958366176
pythia-2.8b,2775208960,60,3.419921875,4.287725742265821
pythia-2.8b,2775208960,61,3.40869140625,4.273645546367461
pythia-2.8b,2775208960,62,3.3994140625,4.262014080190555
pythia-2.8b,2775208960,63,3.3896484375,4.249770431583285
pythia-2.8b,2775208960,64,3.37548828125,4.2320171411027445
pythia-6.9b,6857302016,1,1951.0,1693.0711864392085
pythia-6.9b,6857302016,2,1541.0,1337.2745762700258
pythia-6.9b,6857302016,3,1017.0,882.549152541607
pythia-6.9b,6857302016,4,694.5,602.6847457621888
pythia-6.9b,6857302016,5,627.0,544.1084745757989
pythia-6.9b,6857302016,6,585.0,507.66101694871196
pythia-6.9b,6857302016,7,349.75,303.5118644065162
pythia-6.9b,6857302016,8,312.25,270.9694915251886
pythia-6.9b,6857302016,9,276.0,239.5118644065718
pythia-6.9b,6857302016,10,187.875,163.03728813545172
pythia-6.9b,6857302016,11,166.5,144.48813559309494
pythia-6.9b,6857302016,12,87.5625,75.98644067790015
pythia-6.9b,6857302016,13,40.84375,35.44406779657941
pythia-6.9b,6857302016,14,31.28125,27.14576271184085
pythia-6.9b,6857302016,15,26.96875,23.403389830488162
pythia-6.9b,6857302016,16,26.578125,23.064406779641
pythia-6.9b,6857302016,17,25.828125,22.413559322014446
pythia-6.9b,6857302016,18,25.21875,21.884745762692873
pythia-6.9b,6857302016,19,21.953125,19.050847457610583
pythia-6.9b,6857302016,20,21.8125,18.928813559305606
pythia-6.9b,6857302016,21,19.359375,16.79999999998542
pythia-6.9b,6857302016,22,18.90625,16.40677966100271
pythia-6.9b,6857302016,23,17.953125,15.579661016935631
pythia-6.9b,6857302016,24,16.453125,14.277966101682523
pythia-6.9b,6857302016,25,15.8671875,13.769491525411778
pythia-6.9b,6857302016,26,15.734375,13.654237288123744
pythia-6.9b,6857302016,27,15.359375,13.328813559310467
pythia-6.9b,6857302016,28,15.03125,13.04406779659885
pythia-6.9b,6857302016,29,14.28125,12.393220338972295
pythia-6.9b,6857302016,30,14.203125,12.325423728802862
pythia-6.9b,6857302016,31,14.03125,12.17627118643011
pythia-6.9b,6857302016,32,12.9609375,11.247457627108883
pythia-6.9b,6857302016,33,12.828125,11.132203389820846
pythia-6.9b,6857302016,34,11.9765625,10.39322033897403
pythia-6.9b,6857302016,35,11.4140625,9.905084745754115
pythia-6.9b,6857302016,36,10.71875,9.301694915246165
pythia-6.9b,6857302016,37,10.3515625,8.983050847449832
pythia-6.9b,6857302016,38,9.7265625,8.44067796609437
pythia-6.9b,6857302016,39,9.2265625,8.00677966101
pythia-6.9b,6857302016,40,9.1953125,7.979661016942227
pythia-6.9b,6857302016,41,8.84375,7.67457627117978
pythia-6.9b,6857302016,42,8.8125,7.647457627112007
pythia-6.9b,6857302016,43,8.6171875,7.477966101688425
pythia-6.9b,6857302016,44,8.6015625,7.464406779654539
pythia-6.9b,6857302016,45,8.5859375,7.450847457620652
pythia-6.9b,6857302016,46,8.4609375,7.34237288134956
pythia-6.9b,6857302016,47,7.98046875,6.925423728807549
pythia-6.9b,6857302016,48,7.84375,6.806779661011042
pythia-6.9b,6857302016,49,7.8046875,6.772881355926326
pythia-6.9b,6857302016,50,7.70703125,6.688135593214534
pythia-6.9b,6857302016,51,7.68359375,6.6677966101637045
pythia-6.9b,6857302016,52,7.609375,6.603389830502744
pythia-6.9b,6857302016,53,7.59375,6.589830508468857
pythia-6.9b,6857302016,54,7.515625,6.522033898299425
