iter,wd,ratio_L,median,w_norm_ma,ch207,ch221,ch468
22600,0.4,48.812,0.2637,3.97768,7.6207,4.0399,0.5251
22700,0.4,50.828,0.2656,3.96832,7.8426,4.0878,0.2625
22800,0.4,49.354,0.2625,3.95830,7.6238,4.1193,0.2598
22900,0.4,49.301,0.2629,3.94521,7.4083,4.0481,0.2443
23000,0.4,51.451,0.2669,3.93669,7.6912,4.1863,0.2146
23100,0.4,51.481,0.2629,3.92779,7.5254,3.9747,0.2942
23200,0.4,49.314,0.2599,3.91910,7.4806,3.8726,0.2011
23300,0.4,51.634,0.2593,3.90986,7.3445,3.8929,0.2627
23400,0.4,49.854,0.2578,3.90430,7.4717,3.8416,0.3378
23500,0.4,51.147,0.2659,3.90143,7.2622,3.7384,0.3598
23600,0.4,48.842,0.2550,3.89401,7.0341,3.8259,0.3168
23700,0.4,49.769,0.2482,3.87800,7.0423,3.6361,0.3446
23800,0.4,48.762,0.2457,3.86733,7.0081,3.6016,0.3945
23900,0.4,49.482,0.2560,3.86410,7.0726,3.6120,0.2677
24000,0.4,50.370,0.2476,3.85159,6.9065,3.6451,0.3026
